event_id,event_name,event_type,genre,subgenre,date_local,time_local,venue_name,venue_city,venue_state,venue_lat,venue_lon,url
rZ7HnEZ1Afva07,Joanna Connor Blues Band/Nora Jean Bruso Blues Band,Music,Blues,Blues,2026-03-27,19:00:00,Kingston Mines - Chicago Blues Center,Chicago,IL,41.929086,-87.648951,https://www.ticketweb.com/event/joanna-connor-blues-bandnora-jean-kingston-mines-chicago-tickets/14049904
rZ7HnEZ1AfA0-f,Vino Vriday: RnB Isn't Dead,Music,R&B,R&B,2026-03-27,21:00:00,Three Top Lounge,Chicago,IL,41.90673,-87.65923,https://www.ticketweb.com/event/vino-vriday-rnb-isnt-dead-three-top-lounge-tickets/14164854
vv1A7ZkC7GkdgEnnN,ERRA & Currents: The Silence Follows Tour 2026,Music,Metal,Nu-Metal,2026-03-28,17:30:00,House of Blues Chicago,Chicago,IL,41.88811537,-87.62931962,https://www.ticketmaster.com/erra-currents-the-silence-follows-tour-chicago-illinois-03-28-2026/event/04006384F59EAAA3
rZ7HnEZ1AfvFj7,Joanna Connor Blues Band/Rico McFarland Blues Band,Music,Blues,Blues,2026-03-28,19:00:00,Kingston Mines - Chicago Blues Center,Chicago,IL,41.929086,-87.648951,https://www.ticketweb.com/event/joanna-connor-blues-bandrico-mcfarland-kingston-mines-chicago-tickets/14048704
vv1A7ZkuAGkdNZ0rh,"Joyce Manor, Militarie Gun, Teen Mortgage, & Combat",Music,Rock,Pop,2026-03-28,19:00:00,The Salt Shed Indoors (Shed),Chicago,IL,41.90630000,-87.65900000,https://www.ticketmaster.com/joyce-manor-militarie-gun-teen-mortgage-chicago-illinois-03-28-2026/event/04006345E302479B
Z7r9jZ1A7_E-M,Muti Conducts Tchaikovsky and Rota,Music,Classical,Classical/Vocal,2026-03-28,19:30:00,Orchestra Hall - IL,Chicago,IL,41.880501000,-87.624702000,https://www.ticketmaster.com/event/Z7r9jZ1A7_E-M
rZ7HnEZ1Af7SC7,Sugar We’re A Fall Out Boy Tribute w/ Savior: A Rise Against Tribute,Music,Alternative,Alternative Rock,2026-03-28,19:30:00,Cubby Bear,Chicago,IL,41.947012,-87.656821,https://www.ticketweb.com/event/sugar-were-a-fall-out-cubby-bear-tickets/14133384
16e0ZbwOPG7R3rR,"Young Dubliners, One for the Ditch, the Joyce Boys",Music,Rock,Pop,2026-03-28,20:00:00,Reggies Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketweb.com/event/young-dubliners-one-for-the-reggies-music-joint-tickets/14546963?REFERRAL_ID=tmfeed
1k18v01fGA2Joqf,"The Cynz, Vinto Van Go, the 321's",Music,Rock,Pop,2026-03-28,20:00:00,Reggies Bananna's Shack ,Chicago,IL,41.853865,-87.626767,https://www.ticketweb.com/event/the-cynz-vinto-van-go-reggies-banannas-shack-tickets/14069304?REFERRAL_ID=tmfeed
Z7r9jZ1A7-01Z,Skai,Music,Other,Other,2026-03-28,20:00:00,Avondale Music Hall,Chicago,IL,41.945999000,-87.746696000,https://www.ticketmaster.com/event/Z7r9jZ1A7-01Z
Z7r9jZ1A7O4x3,Colin Meloy,Music,Alternative,Alternative Rock,2026-03-28,20:00:00,Thalia Hall,Chicago,IL,41.849098000,-87.670898000,https://www.ticketmaster.com/event/Z7r9jZ1A7O4x3
Z7r9jZ1A7jk_v,Young Dubliners,Music,World,World,2026-03-28,20:00:00,Reggie's Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketmaster.com/event/Z7r9jZ1A7jk_v
rZ7HnEZ1AfQ47N,*SOLD OUT* Colin Meloy,Music,Pop,Singer-Songwriter,2026-03-28,20:00:00,Thalia Hall,Chicago,IL,41.857717,-87.657459,https://www.ticketweb.com/event/sold-out-colin-meloy-thalia-hall-tickets/14695123
vv178Z_eGkiOJMfn,Mike Doughty,Music,Rock,Alternative Rock,2026-03-28,20:00:00,Garcia's Chicago,Chicago,IL,41.88300000,-87.65256000,https://www.ticketmaster.com/mike-doughty-chicago-illinois-03-28-2026/event/0400642B209B752A
vv178ZbVGkyE2oaN,"Intocable ""Cultura"" Tour 2026",Music,Latin,Latin,2026-03-28,20:00:00,Credit Union 1 Arena at UIC,Chicago,IL,41.87509170,-87.65681650,https://www.ticketmaster.com/intocable-cultura-tour-2026-chicago-illinois-03-28-2026/event/0400634E673D1263
rZ7HnEZ1Af_JGd,Mosh Eisley,Music,Rock,Emo,2026-03-28,21:00:00,Bottom Lounge,Chicago,IL,41.885046,-87.661767,https://www.ticketweb.com/event/mosh-eisley-bottom-lounge-tickets/14666303
rZ7HnEZ1AfAfa0,South of 80,Music,Country,Country,2026-03-28,21:30:00,Carol's Pub,Chicago,IL,41.966640,-87.666980,https://www.ticketweb.com/event/south-of-80-carols-pub-tickets/14154264
rZ7HnEZ1AfqtGd,No Stress,Music,Other,,2026-03-28,21:30:00,Three Top Lounge,Chicago,IL,41.90673,-87.65923,https://www.ticketweb.com/event/no-stress-three-top-lounge-tickets/14769303
Z7r9jZ1A7OpQb,jigitz (18+ Event),Music,Dance/Electronic,Dance/Electronic,2026-03-28,22:00:00,Concord Music Hall,Chicago,IL,41.920898000,-87.702003000,https://www.ticketmaster.com/event/Z7r9jZ1A7OpQb
vv178ZbMGkYQXh6K,1tbsp,Music,Pop,Electro Pop,2026-03-28,22:00:00,Outset,Chicago,IL,41.91287000,-87.66340000,https://www.ticketmaster.com/1tbsp-chicago-illinois-03-28-2026/event/0400637C1AF9B1D3
rZ7HnEZ1Afq4oK,The Rock and Roll Playhouse plays Music of Beyoncé + More for Kids,Music,Rock,Rock & Roll,2026-03-29,11:30:00,Thalia Hall,Chicago,IL,41.857717,-87.657459,https://www.ticketweb.com/event/the-rock-and-roll-playhouse-thalia-hall-tickets/14755453
Z7r9jZ1A7_E-y,Muti Conducts Tchaikovsky and Rota,Music,Classical,Classical/Vocal,2026-03-29,15:00:00,Orchestra Hall - IL,Chicago,IL,41.880501000,-87.624702000,https://www.ticketmaster.com/event/Z7r9jZ1A7_E-y
1k18vN07GACm8DY,Escape the Fate Vip,Music,Rock,Pop,2026-03-29,17:00:00,Concord Music Hall,Chicago,IL,41.91870500,-87.68989000,https://www.ticketweb.com/event/escape-the-fate-vip-concord-music-hall-tickets/14007994?REFERRAL_ID=tmfeed
rZ7HnEZ1AfjEZN,Mike Wheeler Blues Band/Nicholas Alexander Blues Band,Music,Blues,Blues,2026-03-29,17:30:00,Kingston Mines - Chicago Blues Center,Chicago,IL,41.929086,-87.648951,https://www.ticketweb.com/event/mike-wheeler-blues-bandnicholas-alexander-kingston-mines-chicago-tickets/14727023
vv178Z_dGkDfr1_y,ERRA & Currents: The Silence Follows Tour 2026,Music,Metal,Nu-Metal,2026-03-29,17:30:00,House of Blues Chicago,Chicago,IL,41.88811537,-87.62931962,https://www.ticketmaster.com/erra-currents-the-silence-follows-tour-chicago-illinois-03-29-2026/event/0400643ED478A679
1Ae0Z_dGksdT-8w,Ascend: a Musical Ritual for Ostara,Music,Pop,Electro Pop,2026-03-29,19:30:00,Reggies Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketweb.com/event/ascend-a-musical-ritual-for-reggies-music-joint-tickets/14122914?REFERRAL_ID=tmfeed
Z7r9jZ1A7-01v,1300SAINT,Music,Hip-Hop/Rap,Hip-Hop/Rap,2026-03-29,20:00:00,Avondale Music Hall,Chicago,IL,41.945999000,-87.746696000,https://www.ticketmaster.com/event/Z7r9jZ1A7-01v
rZ7HnEZ1AfAJr7,PARKiNG / mail. / Sects,Music,Other,,2026-03-29,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/parking-mail-sects-empty-bottle-tickets/14166784
vv1A7ZkuPGkd5JMkz,HANABIE. - North America Tour 2026,Music,Metal,Nu-Metal,2026-03-30,17:00:00,House of Blues Chicago,Chicago,IL,41.88811537,-87.62931962,https://www.ticketmaster.com/hanabie-north-america-tour-2026-chicago-illinois-03-30-2026/event/04006365CB9B71B8
rZ7HnEZ1Afv0rf,Mirah / Grace Bloom,Music,Alternative,Alternative Rock,2026-03-30,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/mirah-grace-bloom-empty-bottle-tickets/14064794
vv178ZbwGkT9fwqh,49th & Main,Music,Pop,Electro Pop,2026-03-31,19:00:00,Outset,Chicago,IL,41.91287000,-87.66340000,https://www.ticketmaster.com/49th-main-chicago-illinois-03-31-2026/event/0400632FD753275B
rZ7HnEZ1AKPta7,*SOLD OUT* Baths - Playing Songs from Cerulean / Gay Meat,Music,Alternative,Electronic Pop,2026-03-31,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/sold-out-baths-empty-bottle-tickets/13969244
vv178Z_eGkY1vnIi,DVSN - SEPT 5TH - 10 Year Anniversary Shows,Music,R&B,R&B,2026-04-01,19:00:00,House of Blues Chicago,Chicago,IL,41.88811537,-87.62931962,https://www.ticketmaster.com/dvsn-sept-5th-10-year-anniversary-chicago-illinois-04-01-2026/event/0400642C0A06AA2C
rZ7HnEZ1AfO6qd,Big Boss and The Toes Band,Music,Alternative,Alternative,2026-04-01,19:30:00,Cubby Bear,Chicago,IL,41.947012,-87.656821,https://www.ticketweb.com/event/big-boss-and-the-toes-cubby-bear-tickets/14807743
vv178ZbUGkI8FtNn,Dirtwire,Music,Rock,Alternative Rock,2026-04-01,20:00:00,Garcia's Chicago,Chicago,IL,41.88300000,-87.65256000,https://www.ticketmaster.com/dirtwire-chicago-illinois-04-01-2026/event/0400636A102298EA
rZ7HnEZ1AfOFvS,An Evening with Elvis / Neil Diamond / John Lennon,Music,Other,,2026-04-01,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/an-evening-with-elvis-empty-bottle-tickets/14808073
rZ7HnEZ1AfbzvK,Adrian Sherwood,Music,Reggae,Dub,2026-04-01,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/adrian-sherwood-empty-bottle-tickets/14638053
rZ7HnEZ1Afv807,Vino Louden Blues Band/Omar Coleman Blues Band,Music,Blues,Blues,2026-04-02,18:00:00,Kingston Mines - Chicago Blues Center,Chicago,IL,41.929086,-87.648951,https://www.ticketweb.com/event/vino-louden-blues-bandomar-coleman-kingston-mines-chicago-tickets/14050904
vv178ZbVGkn3awOe,The Format,Music,Rock,Alternative Rock,2026-04-02,18:20:00,The Salt Shed Indoors (Shed),Chicago,IL,41.90630000,-87.65900000,https://www.ticketmaster.com/the-format-chicago-illinois-04-02-2026/event/0400634A92272802
Z7r9jZ1A7O-vA,Gwar (17+),Music,Rock,Hard Rock,2026-04-02,18:30:00,Concord Music Hall,Chicago,IL,41.920898000,-87.702003000,https://www.ticketmaster.com/event/Z7r9jZ1A7O-vA
Z7r9jZ1A7b3ov,The Merry Wives of Windsor,Arts & Theatre,Miscellaneous,Miscellaneous,2026-04-02,19:00:00,Chicago Shakespeare Theater,Chicago,IL,41.894600000,-87.618698000,https://www.ticketmaster.com/event/Z7r9jZ1A7b3ov
rZ7HnEZ1AfrKqK,MOTHER FORTUNE / QRUNCH / TBA,Music,Jazz,Jazz Funk,2026-04-02,19:00:00,Cubby Bear,Chicago,IL,41.947012,-87.656821,https://www.ticketweb.com/event/mother-fortune-qrunch-cubby-bear-tickets/14793753
Z7r9jZ1A7_Exv,Sibelius 2 & Tuur Accordion Concerto,Music,Classical,Classical/Vocal,2026-04-02,19:30:00,Orchestra Hall - IL,Chicago,IL,41.880501000,-87.624702000,https://www.ticketmaster.com/event/Z7r9jZ1A7_Exv
1Ae0ZbzGkIjKv9R,"Teenage Bottlerocket, the Dopamines, Sam Russo",Music,Rock,Punk,2026-04-02,20:00:00,Reggies Rock Club,Chicago,IL,41.85398800,-87.62706000,https://www.ticketweb.com/event/teenage-bottlerocket-the-dopamines-sam-reggies-rock-club-tickets/13990904?REFERRAL_ID=tmfeed
1atZkod8bGaZeC5,"Vanda, Second Shot, Ripcord",Music,Rock,Pop,2026-04-02,20:00:00,Reggies Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketweb.com/event/vanda-second-shot-ripcord-reggies-music-joint-tickets/14135854?REFERRAL_ID=tmfeed
1k18vN0VGAu9edQ,The Sidepieces,Music,Country,Country,2026-04-02,20:00:00,Reggies Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketweb.com/event/the-sidepieces-reggies-music-joint-tickets/14015884?REFERRAL_ID=tmfeed
Z7r9jZ1A7O7oN,Teenage Bottlerocket w/ The Dopamines,Music,Rock,Punk,2026-04-02,20:00:00,Reggie's Rock Club,Chicago,IL,41.846600000,-87.625999000,https://www.ticketmaster.com/event/Z7r9jZ1A7O7oN
rZ7HnEZ1AfeZuV,HAPPY LANDING with Motherfolk,Music,Folk,Folk Rock,2026-04-02,20:00:00,Thalia Hall,Chicago,IL,41.857717,-87.657459,https://www.ticketweb.com/event/happy-landing-with-motherfolk-thalia-hall-tickets/14080374
rZ7HnEZ1AfkkA0,KVS Tabla: The KVS Experience Chicago,Music,Other,,2026-04-02,20:00:00,Three Top Lounge,Chicago,IL,41.90673,-87.65923,https://www.ticketweb.com/event/kvs-tabla-the-kvs-experience-three-top-lounge-tickets/14186164
rZ7HnEZ1AfrZbd,St. Julien and  The Silver Palms,Music,Country,Country,2026-04-02,20:00:00,Carol's Pub,Chicago,IL,41.966640,-87.666980,https://www.ticketweb.com/event/st-julien-the-silver-palms-carols-pub-tickets/14780603
vv1A7ZkofGkdj1vZ8,Rock & Rye,Music,Rock,Pop,2026-04-02,20:00:00,Garcia's Chicago,Chicago,IL,41.88300000,-87.65256000,https://www.ticketmaster.com/rock-rye-chicago-illinois-04-02-2026/event/04006454DC281010
rZ7HnEZ1Afq9kK,Cometa a la Deriva / Girl K / Deryk G,Music,Other,,2026-04-02,21:00:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/cometa-a-la-deriva-empty-bottle-tickets/14757193
Z7r9jZ1A7_gFv,Sibelius 2 & Tuur Accordion Concerto,Music,Classical,Classical/Vocal,2026-04-03,13:30:00,Orchestra Hall - IL,Chicago,IL,41.880501000,-87.624702000,https://www.ticketmaster.com/event/Z7r9jZ1A7_gFv
rZ7HnEZ1AfZEjV,Hard Country Honky Tonk with The Hoyle Brothers,Music,Country,Country,2026-04-03,17:30:00,Empty Bottle,Chicago,IL,41.900476,-74.00594130000002,https://www.ticketweb.com/event/hard-country-honky-tonk-with-empty-bottle-tickets/14027734
Z7r9jZ1A7-4f-,Poison the Well (17+ Event),Music,Rock,Hard Rock,2026-04-03,18:00:00,Concord Music Hall,Chicago,IL,41.920898000,-87.702003000,https://www.ticketmaster.com/event/Z7r9jZ1A7-4f-
Z7r9jZ1A7b3oe,The Merry Wives of Windsor,Arts & Theatre,Miscellaneous,Miscellaneous,2026-04-03,19:00:00,Chicago Shakespeare Theater,Chicago,IL,41.894600000,-87.618698000,https://www.ticketmaster.com/event/Z7r9jZ1A7b3oe
rZ7HnEZ1Af_O3d,Naïka - Eclesia Tour,Music,Pop,Pop,2026-04-03,19:00:00,Bottom Lounge,Chicago,IL,41.885046,-87.661767,https://www.ticketweb.com/event/naka-eclesia-tour-bottom-lounge-tickets/14660483
rZ7HnEZ1Afva-V,Toronzo Cannon Blues Band/Nicholas Alexander Blues Band,Music,Blues,Blues,2026-04-03,19:00:00,Kingston Mines - Chicago Blues Center,Chicago,IL,41.929086,-87.648951,https://www.ticketweb.com/event/toronzo-cannon-blues-bandnicholas-alexander-kingston-mines-chicago-tickets/14049874
rZ7HnEZ1Af78Ff,CINDY CRAWFORD CULT / JOHN VOYAGE / DIRECT FROM THE BOY / FERRN,Music,Alternative,Alternative Rock,2026-04-03,19:30:00,Cubby Bear,Chicago,IL,41.947012,-87.656821,https://www.ticketweb.com/event/cindy-crawford-cult-john-cubby-bear-tickets/14110214
1k18v0aoGA53S5x,"Hirax, Savage Master, Desolus, Graveripper",Music,Metal,Nu-Metal,2026-04-03,20:00:00,Reggies Rock Club,Chicago,IL,41.85398800,-87.62706000,https://www.ticketweb.com/event/hirax-savage-master-desolus-graveripper-reggies-rock-club-tickets/14055504?REFERRAL_ID=tmfeed
1k18v0fNGAGNv74,"Zakhoury, Iresponsible, Chandelier, Thrilling Brilliance",Music,R&B,R&B,2026-04-03,20:00:00,Reggies Music Joint,Chicago,IL,41.853988,-87.62706,https://www.ticketweb.com/event/zakhoury-iresponsible-chandelier-thrilling-brilliance-reggies-music-joint-tickets/14175984?REFERRAL_ID=tmfeed
Z7r9jZ1A7O4uM,Hirax w/ Savage Master,Music,Other,Other,2026-04-03,20:00:00,Reggie's Rock Club,Chicago,IL,41.846600000,-87.625999000,https://www.ticketmaster.com/event/Z7r9jZ1A7O4uM
rZ7HnEZ1AfbovK,*SOLD OUT* Kishi Bashi: Sonderlust 10th Anniversary Tour with Bayonne,Music,Alternative,Indie Pop,2026-04-03,20:00:00,Thalia Hall,Chicago,IL,41.857717,-87.657459,https://www.ticketweb.com/event/sold-out-kishi-bashi-sonderlust-thalia-hall-tickets/14611053
rZ7HnEZ1AfqYxd,Carnaval Party 2026,Music,Other,,2026-04-03,20:00:00,Joe's on Weed Street,Chicago,IL,41.909857,-87.65293,https://www.ticketweb.com/event/carnaval-party-2026-joes-on-weed-street-tickets/14770883
vv178Z_dGksA8--u,United We Dance: The Ultimate Rave Experience,Music,Pop,Electro Pop,2026-04-03,20:00:00,House of Blues Chicago,Chicago,IL,41.88811537,-87.62931962,https://www.ticketmaster.com/united-we-dance-the-ultimate-rave-chicago-illinois-04-03-2026/event/0400643C4542184D
vv178ZbVGkTvWVPZ,Machine Girl - PsychoWarrior Tour with Sextile and Casper McFadden,Music,Pop,Electro Pop,2026-04-03,20:00:00,The Salt Shed Indoors (Shed),Chicago,IL,41.90630000,-87.65900000,https://www.ticketmaster.com/machine-girl-psychowarrior-tour-with-sextile-chicago-illinois-04-03-2026/event/0400634FC1F74940
vv178ZbgGkIxwptm,Eddie 9V,Music,Blues,Blues,2026-04-03,20:00:00,Garcia's Chicago,Chicago,IL,41.88300000,-87.65256000,https://www.ticketmaster.com/eddie-9v-chicago-illinois-04-03-2026/event/0400635A22C96A6E
