event_id,event_name,event_type,genre,subgenre,date_local,time_local,venue_name,venue_city,venue_state,venue_lat,venue_lon,url
1A4Zk8YGkeWq_4r,Earlybirds Club - 80's Party,Music,Pop,Electro Pop,2026-03-28,18:00:00,9:30 CLUB,Washington,DC,38.91795000,-77.02373000,https://www.ticketmaster.com/earlybirds-club-80s-party-washington-district-of-columbia-03-28-2026/event/15006430BD75955E
15vfZ_eJkF7GV,The Soul Rebels,Music,Rock,Pop,2026-03-28,19:30:00,The Atlantis,Washington,DC,38.91819000,-77.02241000,https://www.ticketmaster.com/the-soul-rebels-washington-district-of-columbia-03-28-2026/event/1500642986204334
17A8vxG6CXDLS0m,Marcos Witt - Legado Tour,Music,Religious,Gospel,2026-03-28,20:00:00,DAR Constitution Hall,Washington,DC,38.89423638,-77.04092216,https://www.ticketmaster.com/marcos-witt-legado-tour-washington-district-of-columbia-03-28-2026/event/150062EFBB7F392E
1AvfZ_eGkInP5cK,Holy Priest,Music,Pop,Electro Pop,2026-03-28,22:00:00,Echostage,Washington,DC,38.91984858,-76.97281793,https://www.ticketmaster.com/holy-priest-washington-district-of-columbia-03-28-2026/event/1500642A2A94BB53
Z7r9jZ1A7jfbg,National Symphony Orchestra	Philharmonica Fantastique,Music,Classical,Classical/Vocal,2026-03-29,14:00:00,Trump Kennedy Center - Concert Hall,Washington,DC,38.900501000,-77.049004000,https://www.ticketmaster.com/event/Z7r9jZ1A7jfbg
1A4Zku4GkewNEFI,Bryant Barnes Presents: SOLACE Tour,Music,R&B,R&B,2026-03-29,18:30:00,The Atlantis,Washington,DC,38.91819000,-77.02241000,https://www.ticketmaster.com/bryant-barnes-presents-solace-tour-washington-district-of-columbia-03-29-2026/event/15006355B28E7228
1A4ZkuEGkeYgF7Z,Sabrina Claudio,Music,R&B,R&B,2026-03-29,19:00:00,Howard Theatre,Washington,DC,38.91543378,-77.02113555,https://www.ticketweb.com/event/sabrina-claudio-fall-in-love-howard-theatre-tickets/14662203
16vfZbUF-G7UD7K,Sabrina Claudio: Fall In Love With Her - The Tour,Music,R&B,R&B,2026-03-29,20:00:00,Howard Theatre,Washington,DC,38.91543378,-77.02113555,https://www.ticketweb.com/event/sabrina-claudio-dylan-sinclair-howard-theatre-tickets/14662203?pl=howardtheatre
Z7r9jZ1A7qtfw,Sabrina Claudio w/ Dylan Sinclair,Music,Other,Other,2026-03-29,20:00:00,Howard Theatre-DC,Washington,DC,38.910198000,-77.017899000,https://www.ticketmaster.com/event/Z7r9jZ1A7qtfw
rZ7HnEZ1Af_xFd,Sabrina Claudio: Fall In Love With Her – The Tour,Music,R&B,R&B,2026-03-29,20:00:00,Howard Theatre,Washington,DC,38.9153136,-77.0210937,https://www.ticketweb.com/event/sabrina-claudio-fall-in-love-howard-theatre-tickets/14662203
1AvfZbgGkmlg6uD,Dirty Three,Music,Rock,Alternative Rock,2026-03-30,19:00:00,9:30 CLUB,Washington,DC,38.91795000,-77.02373000,https://www.ticketmaster.com/dirty-three-washington-district-of-columbia-03-30-2026/event/1500635BABD4737B
1kA8vNFtGA2iwKx,Patrick Watson - Uh Oh Tour,Music,Rock,Pop,2026-03-31,19:00:00,9:30 CLUB,Washington,DC,38.91795000,-77.02373000,https://www.ticketmaster.com/patrick-watson-uh-oh-tour-washington-district-of-columbia-03-31-2026/event/150063229FB324E2
1A4ZkG_GkduR72Q,Zara Larsson: Midnight Sun Tour 2026,Music,Pop,Pop,2026-03-31,20:00:00,The Anthem,Washington,DC,38.88009900,-77.02616500,https://www.ticketmaster.com/zara-larsson-midnight-sun-tour-2026-washington-district-of-columbia-03-31-2026/event/15006319CDBC43DA
1AvfZbUGkD1t_Uy,Perfume Genius (duo),Music,Rock,Pop,2026-03-31,20:00:00,Lincoln Theatre,Washington,DC,38.91740000,-77.02899200,https://www.ticketmaster.com/perfume-genius-duo-washington-district-of-columbia-03-31-2026/event/1500636ECAA59DB9
1A4ZkuzGkePl9Oh,rusowsky,Music,Ballads/Romantic,Ballads/Romantic,2026-04-01,19:00:00,9:30 CLUB,Washington,DC,38.91795000,-77.02373000,https://www.ticketmaster.com/rusowsky-washington-district-of-columbia-04-01-2026/event/15006378A5AD781B
rZ7HnEZ1Afq-_N,JUSTB SNOW ANGEL TOUR IN N.A - LIVE IN WASHINGTON D.C.,Music,Pop,,2026-04-01,19:00:00,Howard Theatre,Washington,DC,38.9153136,-77.0210937,https://www.ticketweb.com/event/justb-snow-angel-tour-in-howard-theatre-tickets/14761663
1AvfZbwGkR2sKRE,49th & Main,Music,Pop,Electro Pop,2026-04-02,18:30:00,The Atlantis,Washington,DC,38.91819000,-77.02241000,https://www.ticketmaster.com/49th-main-washington-district-of-columbia-04-02-2026/event/1500632BCFC53BE7
164ZkCA0FZAC62uv,Dogs In A Pile,Music,Rock,Pop,2026-04-02,19:00:00,9:30 CLUB,Washington,DC,38.91795000,-77.02373000,https://www.ticketmaster.com/dogs-in-a-pile-washington-district-of-columbia-04-02-2026/event/15006385908D6EC0
Z7r9jZ1A7jvua,"National Symphony Orchestra: Death and Transfiguration
Khachatryan plays Sibelius",Music,Classical,Classical/Vocal,2026-04-02,19:00:00,Trump Kennedy Center - Concert Hall,Washington,DC,38.900501000,-77.049004000,https://www.ticketmaster.com/event/Z7r9jZ1A7jvua
Z7r9jZ1A7jvuM,"National Symphony Orchestra: Death and Transfiguration
Khachatryan plays Sibelius",Music,Classical,Classical/Vocal,2026-04-03,11:30:00,Trump Kennedy Center - Concert Hall,Washington,DC,38.900501000,-77.049004000,https://www.ticketmaster.com/event/Z7r9jZ1A7jvuM
1AvfZbVGkDgtlUF,"yung kai: stay with the ocean, i'll find you tour",Music,Pop,Pop,2026-04-03,19:30:00,The Atlantis,Washington,DC,38.91819000,-77.02241000,https://www.ticketmaster.com/yung-kai-stay-with-the-ocean-washington-district-of-columbia-04-03-2026/event/1500634EF5A6BD88
